trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.1, 'e': 0.21106092070697655}",25,8,-14.950058163590265,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.1, 'e': 0.20683970229283702}",25,0,-72.32544370795625,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.20270290824698028}",20,13,12.071649164876716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.19864885008204067}",20,3,-88.02656686640914,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
81,False,"{'a': 0.1, 'e': 0.19467587308039985}",30,17,5.227423277813601,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.19078235561879187}",20,0,-15.22992743758032,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.18696670850641603}",20,0,-12.916845168539387,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.18322737433628772}",20,0,4.557859613672511,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.17956282684956196}",20,14,-11.756594635143674,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.1759715703125707}",25,17,14.145821504915315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.1724521389063193}",30,21,-7.711657642910646,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.16900309612819292}",20,6,-16.106145071037602,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.1, 'e': 0.16562303420562907}",20,10,-99.834798341422,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
90,False,"{'a': 0.1, 'e': 0.16231057352151648}",30,16,-15.81049464900465,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.1, 'e': 0.15906436205108615}",20,14,10.21798635198635,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.15588307481006441}",25,16,16.182911581504264,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.15276541331386312}",20,10,-3.558514695910759,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.14971010504758586}",25,7,-17.694678179482295,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.1, 'e': 0.14671590294663414}",25,0,19.420597511766754,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.14378158488770146}",25,0,13.185148997843697,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.1, 'e': 0.14090595318994742}",20,15,8.405946906150477,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.13808783412614847}",20,7,8.56513982636446,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.13532607744362551}",25,14,20.970036662446145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.132619555894753}",20,13,6.098805881740384,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.12996716477685794}",20,8,8.685895157371672,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.12736782148132078}",20,6,25.130549253712154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.12482046505169436}",20,12,-23.120680552216353,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.12232405575066048}",25,13,8.316808012852038,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.11987757463564727}",20,8,22.349646430679492,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.11748002314293432}",20,14,12.27938726508792,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.11513042268007563}",20,5,-17.69866771868398,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.11282781422647412}",25,3,34.24493634057593,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.11057125794194463}",25,11,25.42720438726454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.10835983278310574}",25,14,19.68343653407654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.10619263612744362}",35,26,17.22467761469271,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.10406878340489474}",20,9,20.73156115723571,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.10198740773679685}",20,15,10.824687462619703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.09994765958206091}",35,11,-24.276112250612204,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.1, 'e': 0.0979487063904197}",30,20,21.098392114215002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.0959897322626113}",20,0,-22.83047330153991,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.09406993761735907}",20,2,-15.559326128988175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.1, 'e': 0.0921885388650119}",30,18,17.53575234659104,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.09034476808771166}",20,9,0.13487550620472555,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.08853787272595742}",25,11,26.92525235045042,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.08676711527143827}",20,9,-33.288621662262145,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.1, 'e': 0.0850317729660095}",30,5,39.17542289520981,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.08333113750668932}",20,14,10.86212003960091,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.08166451475655553}",30,8,39.37052010270649,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.08003122446142442}",30,18,17.392921941252585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.07843059997219594}",20,4,25.06508438641469,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.07686198797275202}",20,13,13.262836224517365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.07532474821329699}",20,6,15.979323522050667,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.07381825324903105}",20,14,5.773350925868908,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.07234188818405042}",25,1,25.10721407476855,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.07089505042036941}",20,12,14.99070787489714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.06947714941196202}",25,18,14.843768898614005,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.06808760642372277}",25,17,19.43519246276482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.06672585429524831}",20,13,16.758095474106714,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.06539133720934334}",20,10,15.636151221423578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.06408351046515648}",25,13,-20.809744780324092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.1, 'e': 0.06280184025585335}",25,16,3.0335053569185364,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.061545803450736285}",25,4,31.287077094073187,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.060314887381721555}",25,8,31.402689530167798,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.05910858963408712}",35,25,20.360122626542378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.05792641784140538}",30,13,35.03868659872724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.05676788948457727}",30,18,24.284407975897427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.055632531694885724}",25,17,10.821431807336552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.054519881060988006}",20,16,8.77271145140012,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.05342948343976824}",20,12,8.854956959438395,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.052360893770972874}",25,19,13.051765146993397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.05131367589555342}",20,2,15.766726789518309,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
